"EV001",""
"\n<\n[1]>うあぁぁぁぁぁぁぁぁぁ～～～っ！！！！","\n<\n[1]>Uuuaaaaahhhhhhhh!!!!"
"精液を飲むのと同じように。
いともあっさり簡単に、私はじゅるんっと飲まれた。","I was swallowed down as easily as she would swallow a load of cum."
"\n<\n[1]>ああっ！　ああぁぁぁぁ……っ！！","\n<\n[1]>Ah!　Ahhhh ......!!!!"
"MP_SET_MOVIE D-gateさん丸飲み","MP_SET_MOVIE D-gateさん丸飲み"
"ずりゅずりゅずりゅ…っ！ 
細い喉肉を勢いよく滑る。滑り降りる。"," Shlick,  squeeeze, rub, rub… 
I'm squeezed forcefully down her tight throat. Sliding further down inside her."
"全身が激しく擦られる、けど……
口内の唾液と自分の精液でぬるぬるになった身体は止まらない。
落ちる。","My body is crushed by her internal muscles...
but, lubricated by cum and saliva, I keep sliding.
Deeper, deeper down.
"
"\n<リリー>うふふ……♪ 中の様子はどう？ 
全身ぐちゅぐちゅに揉みつぶされちゃうんだから","\n<Lily>Ufufu...♪  How does it feel inside me?
 Soon your whole body will be and squished and squeezed"
"\n<\n[1]>あぁっ、あんぅ……！ ひっ、や、めてぇ……！","\n<\n[1]>Ah, augh!......! No, no, no! ......!"
"食道の締め付けがどんどん強くなる。
狭い肉の通路を無理やり押し広げられながら、
リリーの体内を下へ下へ進んでいく。","The rippling of the esophagus grows stronger and stronger. 
The tight walls of flesh lewdly part
as I'm pushed deeper into Lily's body."
"\n<\n[1]>んっ、あ……っ！ もぉだめぇぇ……っ","\n<\n[1]> Oh, ah......! Oh no... ......"
"とうとう出口にたどり着き、
全身を包んでいた粘膜の圧迫感が不意に消えた。","Finally I arrive at the end of her throat,
free of the suffocating flesh enveloping my whole body.
"
"どぷん……っ！
何かを通り抜けて、全身が熱い粘膜に包まれる。","Splurt...!
I'm pushed through a tight ring of muscle, and I'm again wrapped in slimy flesh"
"MP_SET_MOVIE D-gateさん丸飲み2","MP_SET_MOVIE D-gateさん丸飲み2"
"解放された安堵を感じる暇もなく、
落下した身体は再度どろどろの粘液に埋まる。","I didn't have time to feel any relief at being freed from Lily's throat.
My falling body is buried once again in thick, slimy mucous.
"
"まるで膣内にいるみたいな感触。
どろりと粘つくソコはぬちゅぬちゅと絶えず波打って……
全身が揉みこまれるみたい。","It feels like being inside a huge vagina. 
The slimy, sticky walls constantly undulate...
its folds rub my entire body."
"\n<\n[1]>あ、あぁ……こ、ここ……ここって……","\n<\n[1]>Ah...Aaa! This...This is..."
"膣ではない。やさしい空間でもない。
……リリーの胃袋。食物を消化するための器官。","But it's not a vagina; this is no friendly space. 
...This is Lily's stomach: An organ for digesting food."
"証拠に、先に喉を通った精液が胃液で薄められ
肉壁にぬっとり糸を引いてるのが見える。
もはや逃げ場のない終点にたどり着いてしまった。","Wet threads stretch from the walls, the remnants of my previously swallowed semen,
mixed with Lily's gastric juices. 
I've reached the end, a point from which I can no longer escape. "
"叩きつけるような実感で、頭がぐらぐらと揺れる。
腰がきゅうっと縮む……","My head sways and pounds, as if struck by a blow.
My groin throbs."
"新しい獲物を感じたのか、
全身に絡みつく柔らかな粘膜がぎゅう……っと締まってゆく。","Does her stomach see me as just another piece of food?
The smooth flesh surrounding my body squeezed hard around me."
"\n<\n[1]>んんんんんん！？ ひゃううぅぅ……っ！！","\n<\n[1]>nnh! Hyahhhhh ......!!!!"
"強烈な締め付けが全身を一気に刺激し……
嚥下のショックで収まりかけていた絶頂感が一気に蘇る。","The pressure stimulates my entire body all at once.
Whatever relief I felt from climaxing in Lily's throat has vanished."
"\n<リリー>手加減なんて無理よ？ だって……胃は勝手に動くの。
私の意志なんて関係ないからね","\n<Lily> There's no way I can go easy on you. Because...
my stomach does whatever it wants.
What I want no longer matters."
"\n<\n[1]>あ、あうぅ……！！ 
や、やらぁ……っ、イくっ、またイっちゃうよぉ……！","\n<\n[1]>Ah! Ahh...!
Yesss!!! I'm going to come again!
"
"ぶしゅわああああっ！ ぴちちち……っ！","SPRAAAAY!! sploosh, sploosh...!"
"限界なのはおちんちんだけじゃなかった。
その下のおまんこも……
内側がキュンキュンと痙攣し、大量の愛液を噴き出す。","It's not just just my cock which is at its limit;
my vagina beneath it throbs as well...
The inner walls of my pussy clench, squirting out liquid bliss."
"リリーの言う通り、胃は彼女の意志と関係なく動いている。
……つまりそれは私がどれだけ抵抗しても、何の影響もない。","As Lily said, her stomach is moving of its own free will.
...in other words, no matter how much I struggle, I'm at its mercy."
"たとえリリーの気が変わったとしても、
胃は容赦なく私を責め立て溶かし続ける……","Even if Lily changes her mind, her stomach will still relentlessly rape and digest me."
"\n<\n[1]>あぁぁぁ……だ、だっめ……ぇ……！","\n<\n[1]>No...noooo....this is bad....！"
"私を包んでいる肉の壁が、ゆっくりと動き始める。
無数の肉襞がぞりゅぞりゅと全身を擦りあげてくる。","The walls of flesh around me slowly begin to move.
Countless fleshy folds rub against my body."
"\n<\n[1]>あぁっ、ああぁ～っ！！","\n<\n[1]>Ah, ahhhh!"
"\n<\n[1]>（やだぁ、やだぁぁぁっ！ ……そこは、
そこは……
絶対、だめっ、だめだめっ気持ちい…っあぁぁぁ……！！）","\n<\n[1]> (No! I don't like it! 
I shouldn't feel this way...!!)"
"全身くまなく撫でまわされる感覚に、身体がガクガク震えだす。
特に敏感なお尻に、クリトリスに、
粘液がたっぷり絡まった粘膜がまとわりついてくる。","The slippery sensations all over make me quiver.
The sticky, mucous-covered walls
adhere themselves to my ass and my clit."
"ぬちゅ、ぬちゅ……っ、くちゅっ。
くりゅっ、にちゅちゅ……っ！！","Squelch, squelch, suck...
Knead, suck...!!"
"\n<\n[1]>―――～～～～ッ！！！","\n<\n[1]>―――～～～～！！！"
"全身が溶ける。溶かされる。","My entire body is melting. I'm melting."
"意識が飛びそうになるほどの甘い快感に犯されて――
五感と思考が溶けていく。","I'm being raped by a syrupy pleasure that almost lulls me into unconsciousness. 
My thoughts and senses melt away. "
"気が狂うほどに熱い粘膜と胃液に浸されて――
肌と肉がとろけていく。","Surrounded by unbelievably hot flesh and gastric juices--
my very skin and flesh are melting away."
"強烈な融解感。おかしくなりそうな蕩酔感。
淫魔の胃で消化されているだけなのに……
私は五感ごと狂わされ全身でぐちゃぐちゃになる。","The perverseness of it all almost drives me crazy. 
Though I'm just being digested in the stomach of a succubus...
the sensory overload blasts my mind into uselessness."
"\n<\n[1]>んんぅっ！？ んっ、んぐぅぅ……っ！！","\Ўn<\n[1]>nn! Mmmmmmmmmm...... ......!"
"どくん……！ びゅーーっ！！！
もはや我慢する理性もなく、
衝動のまま腰が突きあがり、勢いよく精液が噴き出す。","Ba-dum! Spurt!
I no longer have any reason to hold back.
My hips thrust with a bestial impulse, and semen erupts from my body."
"頭の中でぷちゅっと、
何かが音を立てて壊れるような音がしたような気がして……","Craaack! 
In my mind I hear something shatter, like broken glass."
"腰をびくんびくんと激しく跳ねさせながら、
おなかの水分をすべて吐き出すように射精する。","My hips bounce uncontrollably.
I ejaculate as if I'm pouring out all the liquid left inside me."
"突き出す腰は快楽から逃げるどころか、
逆に胃粘膜にずっぷり埋まって……
連鎖する快楽からはどの方向へも逃げることができない。","Rather than trying to avoid their source of pleasure,
my crotch completely bury itself between Lily's gastric folds...
No matter where I turn, I can't escape this unending chain of pleasures."
"ただひたすらに衝き上げるような激しすぎるオスの快楽……
ただひたすらに溶け崩れるような甘ったるいメスの悦楽……","The pleasure of my male parts, which simply urge me to indulge...
The sweet, delicate pleasure of my female parts which ebbs and flows like waves..."
"無数の快感に同時に溺れ、
息も絶え絶えに喘ぐしかない。震えるしかない。","Drowning in continuous, simultaneous orgasms,
my body can do nothing but convulse."
"\n<\n[1]>んんんんん！！ ……んんんーーっ！！ 
…んああぁぁぁぁぁぁっ！！","\n<\n[1]>Hnnnnn! ...... Unnnh!!!! 
...nhhhhh!!!!"
"\n<リリー>うふふ……どう？ 美味しい？ 私はとっても美味しいわよ？","/n<Lily> Ufufufu. How is it? Do you like it? You're absolutely delicious, you know?"
"\n<\n[1]>～～っ！……っ！……っ！","\n<\n[1]>～～！…！…！"
"ぶんぶんと、必死になって首を振る。否定する。拒絶する。
そうしないと壊れてしまいそうだから……。
こんなの、耐えられるわけがないから……","Maybe she's right. I desperately shake my head.  I deny it.
If I give in, my mind will break entirely...
There's no way I'll be able to stand it...
"
"\n<リリー>そっか。じゃあ……
もっともっと味あわせて、教え込んであげるわね","/n<Lily> I see. Well then...
I'll teach you a little lesson, and love you more and more.
"
"\n<\n[1]>～～～っ！？","\n<\n[1]>～～～！？"
"必死の抵抗を切り捨てるようなリリーの無情な言葉。
声にもならない悲鳴が漏れる。","Lily's heartless words overcome my desperate resistance.
A silent cry bursts forth from me."
"私の反応を楽しむように胃蠕動が激しくなり、
耳奥までぐちゅぐちゅと水音が沁みこむ。","The rippling movements of her stomach walls intensify, as if enjoying my reaction.
The glorping and bubbling of her stomach juices invade my ears."
"\n<\n[1]>ひゃうんっ、ああっ、ああっ……！！","\n<\n[1]>Uooah, ah, ah......!"
"ぞくぞくするようなびくびくするような強烈すぎる感覚。
感覚はどんどん強くなって、芯まで水浸しになって……
私の手足から力が溶けていく。","The feelings are too intense, bordering on twinges of panic. 
The overwhelming feelings intensify, flooding my heart and mind.
My arms and legs grow weak."
"かくり、と……倒れ込むことさえ許されず、
全身に纏いつく粘膜に押し止められる。","I'm imprisoned by fleshy walls which won't even let me lay down.
The powerful stomach muscles cling to my body and hold me in place."
"そのせいで両胸の先端が
包み込む粘膜へぐりぐりと押し付けられ、潰れて擦られる。","The squeezing causes my nipples 
to be pinched and kneaded 
as they're enveloped by countless fleshy folds."
"びりびりぃ…っ！ 
強烈すぎる刺激が胸から腰に走り抜け、
脳がどろりと溶ける感じがする。","Bzzzzt...!
A sensation like a lightning bolt crahes down from my chest to my groin.
It feels like my brain is melting in its wake.

"
"\n<\n[1]>（ああああああぁぁぁっ！！）","\n<\n[1]>(Aaaahhh!)"
"っ～～！！","Woaah!"
"全身を挟み込んで蠢いていた胃壁の肉襞がまた、一斉に動き出す。","The fleshy folds of Lily's stomach, which had been squirming around me before, renew their assault. "
"ぞりゅぞりゅっ、ぞりゅりゅ……っ、
ぞりゅぞりゅぞりゅぅぅぅ……っ！！","Rub, rub, knead, rub"
"\n<\n[1]>い""あ""あ""あ""ん""ん""ん""ん""っっ―――！！！！","\n<\n[1]>Hnnnnhhh!"
"声もなく絶叫する。喉を搾りつくしたような音しか出ない。
全身を舐めまわされながら揉みこまれ、
肉襞で押しつぶされたまま擦られ続ける。","I scream voicelessly, producing nothing but a throaty wheeze. 
Her stomach licks and massages me all over.
I'm rubbed even while being crushed in the folds of her flesh."
"もう全身はどろどろの胃液まみれ。
さっきまで糸を引いてた精液ももはや影も形もない。","My entire body is plastered in her viscous stomach juices.
The strings of semen I noticed earlier have now become ghostlike and amorphous."
"呑み込まれてから時間が経ったせいで、
増えた胃液に混ざって消化された……","My cum was swallowed down long before I was.
Since then, its been mixed with her stomach acid and digested...
"
"そんな状態で激しい上下運動を繰り返しすおちんちんは、
もう快感どころではない。","My cock is battered up and down again and again...
This isn't even about pleasure anymore.
"
"何度もすり潰すような抽送を繰り返されて、
いつ射精したかももうわからなくて……","Lily's body continually constricts and milks me.
I don't even notice when she makes me cum anymore..."
"それこそ、本当に溶けてしまっているんじゃないかと
思うぐらいにぐちゅぐちゅで……","I had thought it was just my cum that was melting.
Everything was so wet that I thought..."
"今の私はリリーの中でドロドロに溶け、混ざるだけ……
でも、止まらない。止められない。","Now I'm just melting into mush, becoming one with Lily...
But I can't stop. Not anymore."
"この地獄のような快楽はどこまで続くのか。
このまま私はどうなってしまうのか。","How long will this hellish pleasure go on for?
What will become of me?"
"恐ろしいけど……もうどうしようもない。
快楽と消化で溶けるだけしかできない。","Maybe it's horrible, but...there's nothing I can do at this point.
I'm melting from both the pleasure and the digestive juices."
"\n<リリー>うふふ……お腹の中はもうぐちゅぐちゅね。
私に消化されるのは気持ちいい？","\n<Lily>Ufufu...My belly is already so goopy. 
Does it feel that good to be digested by me?"
"\n<\n[1]>んんっ……んむぅ……あぁぁぁぁ……っ","\n<\n[1]>nnnnn......mmmmm......aahhhhhhhh......"
"違う、本当は嫌。助けて欲しい。誰かお願いだから止めて。
だけど……","No, I really don't want this. I need help. Please, someone. Make it stop.
Although..."
"\n<リリー>嫌がっちゃうの？
だめね、嘘つきさんにはもっと激しくしてあげないとね","\n<Lily> Oh, you don't like it?
Then I'll have to be rougher with little Ms Liar."
"\n<\n[1]>っ！？","\n<\n[1]>!"
"突然一気に増える胃液。
滝のように分泌されるとろとろの粘液が
洪水になって私に襲い掛かって……","Suddenly, her stomach juices begin to rise.        
Thick mucus pours down like a waterfall, 
completely covering me."
"ごぼぉおぉぉぉ……っ！ 
どぼっ、ごぶっ、ごぶごぶごぶごぶ……っ！！","Glooorp...!
Splash, glub, glorp...!!!"
"\n<\n[1]>～～っ！？ っ！ っ！ っ！","\n<\n[1]>～～！？ ！ ！ ！"
"口の中にも容赦なく大量の胃酸が流れ込み、
喉から食道を通って体内を満たしていく。","A relentless stream of stomach acid pours down,
filling my insides as it splashes into my mouth and down my throat."
"焼けつくような感覚。
それと共に凄まじい快感が鼻を、脳を突き抜ける。","A tremendous burning tunnels up through my nostrils and into my brain.
And with it, a burst of ecstasy as well."
"息ができない……苦しい……
でも、身体は甘い快感を感じてびくびく跳ねまわる。","I can't breathe....everything hurts...
but still my body convulses in luscious pleasure."
"\n<\n[1]>～～っ！！！","\n<\n[1]>～～っ！！！"
"どろ、どろどろ……ぷぴゅ…っ、ぷぴゅ……っ
何度目かわからない射精…。
私の中身そのものが直接抜け出していくような感覚。","Throb, throb...clench...clench...clench....
I have no idea how many times I've come at this point.
It feels like everything inside me is pouring out."
"もう勢いなんてなく、精液はただ周囲に広がり、
そのまま胃液に溶け消えていく……","My semen no longer shoots out, but spreads languidly out in a cloud around me.
It slowly dissolves into Lily's stomach juices and fades away.

"
"\n<リリー>あはっ。
またイッちゃったわね、情けない。これで何回目かしら？","\n<Lily> Ahaha!
You came again. You're just pathetic. How many times have I gotten you off?"
"\n<\n[1]>あぶぅぅぅ……、んんぅぅぅぅ……っ！！ 
んんーーーーー……","\n<\n[1]>Nooooooo....!
ahhhhhhh..."
"\n<リリー>消化された全身が精液みたいに噴き出す感覚ってどう？ 
貴女はそのままとろけてしまうのよ？","\n<Lily> What it does it feel like to have your entire being spurt out of you like cum?
You're just going to melt into nothingness, aren't you?"
"だめ、だめ。何を話しかけられてももう、考えることもできない。
手足はふやけて、肌もぬるぬるにとろけ……
もう私はほとんど栄養のなりかけ。","No, no. Despite what she's saying to me, I can no longer think. 
My arms and legs are covered in blisters, and my skin is becoming gooey...
I'm becoming nothing but nutrients for her now."
"\n<\n[1]>（たすけて……だれかたすけてぇ……）","\n<\n[1]>(Someone help me....someone...save me...)"
"心の中でどれだけ叫んでも誰も聞いてくれない。
リリーは楽しそうに笑いながら私を溶かし続けてる。
容赦なんてない。","No matter how much I scream from the depths, no one can hear me.
Lily just keeps melting me down to the tune of her joyous laughter.
Without mercy."
"\n<\n[1]>（もう、限界だよ……あにき、あにき……っ……）","\n<\n[1]>(I'm at the end of my rope. ....brother, brother....agh....)"
"とろぉ…、とろぉ……っ。
もう勃起すらしなくなったおちんちんからは
無限に精液があふれ出す。","Splurt...splurt...
From a cock that can no longer even stand on its own,
come endless streams of semen."
"そのすぐ下からも、大量の愛液がとろとろ漏れだして
とめどなく流れあふれる。","A large amount of love honey flows from just below it, as well.
My pussy overflows without end."
"こんな状態なのに、残る感覚は全力で快楽を伝える。
溶ける。溶かされる。だめ、気持ちいい……","Despite the condition I'm in, what senses I have left do their best to transmit pleasure.
Melting away. Dissolving away. But it feels...good.
"
"抗いがたい蕩酔感に、すべてを奪われる融解感に……
全身が溺れてしまって逃げ道がない。","An addictive feeling of perverseness, this melting feeling which steals everything away from you...
My whole being is drowning in ecstasy and there is no way out."
"\n<リリー>うふふ……もういいのよ？ ぜんぶ、溶けちゃいなさい……？","\n<Lily>Ufufufu....everything's okay now, right? Are you all melted away...?"
"\n<\n[1]>っ――！？","\n<\n[1]>!"
"最期に聞いた、ひどく優しい声……","That sinfully gentle voice I heard at the end...."
"ごぼっ、ごぼぼぼぼぼぼっ！！","Gurgle, gurgle, guuurrrgle....."
"～～～―――！！！～～～～っ！！","~~~~~!!!! ～～～～!!!"
"意識も視界もあたたかな闇に包まれてゆく。","My consciousness and my vision dissolve into a warm, inviting darkness."
"手足も、性器も、感覚も……
ぜんぶ、全部熱い粘液に溶け混ざってゆく。","My limbs, my genitals, even my senses....
All of them dissolve into the thick, hot mucus."
"脳の奥までぷちゅりと、
甘ったるいとろとろの汁が染みた感じがして……
そしてそのまま、私の身体は完全にとろけ、消化されていった。","It's like a gentle smooch to the very depths of my brain, and I'm...
I feel a sweet, gentle fluid seeping into my .....
And just like that, my body was completely and totally melted away."
"とろり……とろり……","Gloop...gloop..."
"ちゅぷり…っ。","Schlorp..."
"\n<リリー>ん…っ。美味しかった♪ 
ごちそうさま。\n[1]ちゃん","\n<Lily>Mm...you were delicious...
Thanks for the meal, \n[1]-chan."
